
Measuring costs for CostType::Contract(VerifyMlDsa44Sig)


Measuring costs for CostType::Contract(VerifyMlDsa44Sig)

iterations        inputs     cpu_insns_total     cpu_insns_base     mem_bytes_total     mem_bytes_base     time_ns_total     time_ns_base     ave_net_input     ave_net_insns     ave_net_bytes     ave_net_ns     ave_net_insn_per_input     ave_net_bytes_per_input
       100       819,200         137,340,245             71,827                   0                  0         9,712,154           61,517             8,192         1,372,684                 0         96,506                        167     0
       100       921,600         142,526,146             71,827                   0                  0         9,697,783           61,517             9,216         1,424,543                 0         96,362                        154     0
       100     1,024,000         147,064,745             71,827                   0                  0        10,444,280           61,517            10,240         1,469,929                 0        103,827                        143     0
       100     1,126,400         152,250,648             71,827                   0                  0        10,832,451           61,517            11,264         1,521,788                 0        107,709                        135     0
       100     1,228,800         156,791,946             71,827                   0                  0        10,683,180           61,517            12,288         1,567,201                 0        106,216                        127     0
       100     1,331,200         161,976,141             71,827                   0                  0        12,752,490           61,517            13,312         1,619,043                 0        126,909                        121     0
       100     1,433,600         166,515,741             71,827                   0                  0        11,636,161           61,517            14,336         1,664,439                 0        115,746                        116     0
       100     1,536,000         171,713,544             71,827                   0                  0        12,285,442           61,517            15,360         1,716,417                 0        122,239                        111     0
       100     1,638,400         176,235,945             71,827                   0                  0        12,202,338           61,517            16,384         1,761,641                 0        121,408                        107     0
       100     1,740,800         181,426,945             71,827                   0                  0        12,541,424           61,517            17,408         1,813,551                 0        124,799                        104     0
       100     1,843,200         186,604,939             71,827                   0                  0        12,523,053           61,517            18,432         1,865,331                 0        124,615                        101     0
       100     1,945,600         191,154,843             71,827                   0                  0        13,107,748           61,517            19,456         1,910,830                 0        130,462                         98     0
       100     2,048,000         196,338,140             71,827                   0                  0        13,415,646           61,517            20,480         1,962,663                 0        133,541                         95     0
       100     2,150,400         200,876,942             71,827                   0                  0        14,188,556           61,517            21,504         2,008,051                 0        141,270                         93     0
       100     2,252,800         206,055,142             71,827                   0                  0        14,059,077           61,517            22,528         2,059,833                 0        139,975                         91     0
       100     2,355,200         210,602,441             71,827                   0                  0        13,983,925           61,517            23,552         2,105,306                 0        139,224                         89     0
       100     2,457,600         215,784,045             71,827                   0                  0        14,471,834           61,517            24,576         2,157,122                 0        144,103                         87     0
       100     2,560,000         220,320,946             71,827                   0                  0        15,238,231           61,517            25,600         2,202,491                 0        151,767                         86     0
       100     2,662,400         225,506,844             71,827                   0                  0        16,593,168           61,517            26,624         2,254,350                 0        165,316                         84     0
       100     2,764,800         230,050,543             71,827                   0                  0        15,664,467           61,517            27,648         2,299,787                 0        156,029                         83     0
       100     2,867,200         235,234,742             71,827                   0                  0        15,687,325           61,517            28,672         2,351,629                 0        156,258                         82     0
       100     2,969,600         239,776,041             71,827                   0                  0        15,795,604           61,517            29,696         2,397,042                 0        157,340                         80     0
       100     3,072,000         244,958,546             71,827                   0                  0        16,147,315           61,517            30,720         2,448,867                 0        160,857                         79     0
       100     3,174,400         249,501,547             71,827                   0                  0        16,464,121           61,517            31,744         2,494,297                 0        164,026                         78     0
       100     3,276,800         254,685,746             71,827                   0                  0        17,292,226           61,517            32,768         2,546,139                 0        172,307                         77     0
       100     3,379,200         259,218,348             71,827                   0                  0        17,495,751           61,517            33,792         2,591,465                 0        174,342                         76     0
       100     3,481,600         264,411,044             71,827                   0                  0        17,220,413           61,517            34,816         2,643,392                 0        171,588                         75     0
       100     3,584,000         269,587,347             71,827                   0                  0        18,009,786           61,517            35,840         2,695,155                 0        179,482                         75     0
       100     3,686,400         274,135,546             71,827                   0                  0        18,787,213           61,517            36,864         2,740,637                 0        187,256                         74     0
       100     3,788,800         279,312,046             71,827                   0                  0        18,747,027           61,517            37,888         2,792,402                 0        186,855                         73     0
       100     3,891,200         283,864,449             71,827                   0                  0        18,744,217           61,517            38,912         2,837,926                 0        186,827                         72     0
       100     3,993,600         289,049,448             71,827                   0                  0        20,954,322           61,517            39,936         2,889,776                 0        208,928                         72     0

Contract(VerifyMlDsa65Sig) cpu: MeteredCostComponent { const_term: 983619, lin_term: ScaledU64(6103) }, R2 score: 0.9999889972869523
Contract(VerifyMlDsa65Sig) mem: MeteredCostComponent { const_term: 0, lin_term: ScaledU64(0) }, R2 score: NaN

Measuring costs for CostType::Contract(VerifyMlDsa87Sig)


Measuring costs for CostType::Contract(VerifyMlDsa87Sig)

iterations        inputs     cpu_insns_total     cpu_insns_base     mem_bytes_total     mem_bytes_base     time_ns_total     time_ns_base     ave_net_input     ave_net_insns     ave_net_bytes     ave_net_ns     ave_net_insn_per_input     ave_net_bytes_per_input
       100             0         143,810,214             89,242                   0                  0        10,758,542           93,445                 0         1,437,209                 0        106,650                  1,437,209     0
       100       102,400         148,999,023             89,242                   0                  0        10,841,793           93,445             1,024         1,489,097                 0        107,483                      1,454     0
       100       204,800         153,543,824             89,242                   0                  0        11,369,499           93,445             2,048         1,534,545                 0        112,760                        749     0
       100       307,200         158,725,422             89,242                   0                  0        11,936,115           93,445             3,072         1,586,361                 0        118,426                        516     0
       100       409,600         163,271,028             89,242                   0                  0        12,198,257           93,445             4,096         1,631,817                 0        121,048                        398     0
       100       512,000         168,450,924             89,242                   0                  0        12,661,763           93,445             5,120         1,683,616                 0        125,683                        328     0
       100       614,400         172,999,928             89,242                   0                  0        12,531,798           93,445             6,144         1,729,106                 0        124,383                        281     0
       100       716,800         178,173,026             89,242                   0                  0        12,631,642           93,445             7,168         1,780,837                 0        125,381                        248     0
       100       819,200         182,718,428             89,242                   0                  0        13,810,970           93,445             8,192         1,826,291                 0        137,175                        222     0
       100       921,600         187,892,429             89,242                   0                  0        13,703,943           93,445             9,216         1,878,031                 0        136,104                        203     0
       100     1,024,000         192,439,522             89,242                   0                  0        13,759,741           93,445            10,240         1,923,502                 0        136,662                        187     0
       100     1,126,400         197,622,023             89,242                   0                  0        13,635,386           93,445            11,264         1,975,327                 0        135,419                        175     0
       100     1,228,800         202,156,530             89,242                   0                  0        13,832,306           93,445            12,288         2,020,672                 0        137,388                        164     0
       100     1,331,200         207,345,829             89,242                   0                  0        14,297,536           93,445            13,312         2,072,565                 0        142,040                        155     0
       100     1,433,600         211,895,635             89,242                   0                  0        14,600,525           93,445            14,336         2,118,063                 0        145,070                        147     0
       100     1,536,000         217,071,335             89,242                   0                  0        15,454,806           93,445            15,360         2,169,820                 0        153,613                        141     0
       100     1,638,400         221,609,033             89,242                   0                  0        16,343,324           93,445            16,384         2,215,197                 0        162,498                        135     0
       100     1,740,800         226,800,029             89,242                   0                  0        15,806,135           93,445            17,408         2,267,107                 0        157,126                        130     0
       100     1,843,200         231,974,633             89,242                   0                  0        16,313,092           93,445            18,432         2,318,853                 0        162,196                        125     0
       100     1,945,600         236,521,133             89,242                   0                  0        16,043,079           93,445            19,456         2,364,318                 0        159,496                        121     0
       100     2,048,000         241,706,136             89,242                   0                  0        17,028,709           93,445            20,480         2,416,168                 0        169,352                        117     0
       100     2,150,400         246,250,029             89,242                   0                  0        17,033,540           93,445            21,504         2,461,607                 0        169,400                        114     0
       100     2,252,800         251,424,832             89,242                   0                  0        16,857,663           93,445            22,528         2,513,355                 0        167,642                        111     0
       100     2,355,200         255,970,431             89,242                   0                  0        17,456,991           93,445            23,552         2,558,811                 0        173,635                        108     0
       100     2,457,600         261,162,236             89,242                   0                  0        19,600,152           93,445            24,576         2,610,729                 0        195,067                        106     0
       100     2,560,000         265,690,630             89,242                   0                  0        18,473,784           93,445            25,600         2,656,013                 0        183,803                        103     0
       100     2,662,400         270,876,533             89,242                   0                  0        19,232,210           93,445            26,624         2,707,872                 0        191,387                        101     0
       100     2,764,800         275,413,434             89,242                   0                  0        18,588,027           93,445            27,648         2,753,241                 0        184,945                         99     0
       100     2,867,200         280,609,540             89,242                   0                  0        19,150,583           93,445            28,672         2,805,202                 0        190,571                         97     0
       100     2,969,600         285,149,132             89,242                   0                  0        19,765,741           93,445            29,696         2,850,598                 0        196,722                         95     0
       100     3,072,000         290,338,430             89,242                   0                  0        19,719,303           93,445            30,720         2,902,491                 0        196,258                         94     0
       100     3,174,400         294,884,830             89,242                   0                  0        19,864,168           93,445            31,744         2,947,955                 0        197,707                         92     0
       100     3,276,800         300,052,032             89,242                   0                  0        19,922,843           93,445            32,768         2,999,627                 0        198,293                         91     0
       100     3,379,200         304,593,132             89,242                   0                  0        20,563,158           93,445            33,792         3,045,038                 0        204,697                         90     0
       100     3,481,600         309,779,030             89,242                   0                  0        21,041,613           93,445            34,816         3,096,897                 0        209,481                         88     0
       100     3,584,000         314,974,034             89,242                   0                  0        21,353,738           93,445            35,840         3,148,847                 0        212,602                         87     0
       100     3,686,400         319,501,833             89,242                   0                  0        21,265,431           93,445            36,864         3,194,125                 0        211,719                         86     0
       100     3,788,800         324,686,837             89,242                   0                  0        21,715,782           93,445            37,888         3,245,975                 0        216,223                         85     0
       100     3,891,200         329,242,635             89,242                   0                  0        22,747,084           93,445            38,912         3,291,533                 0        226,536                         84     0
       100     3,993,600         334,412,335             89,242                   0                  0        22,663,414           93,445            39,936         3,343,230                 0        225,699                         83     0

Contract(VerifyMlDsa87Sig) cpu: MeteredCostComponent { const_term: 1437209, lin_term: ScaledU64(6103) }, R2 score: 0.9999891210910969
Contract(VerifyMlDsa87Sig) mem: MeteredCostComponent { const_term: 0, lin_term: ScaledU64(0) }, R2 score: NaN


       cost_type     cpu_model_const_param     cpu_model_lin_param     mem_model_const_param     mem_model_lin_param
VerifyMlDsa44Sig                    685165                    6103                         0     0
VerifyMlDsa65Sig                    983619                    6103                         0     0
VerifyMlDsa87Sig                   1437209                    6103                         0     0

