
Measuring costs for CostType::Contract(VerifyMlDsa44Sig)


Measuring costs for CostType::Contract(VerifyMlDsa44Sig)

iterations        inputs     cpu_insns_total     cpu_insns_base     mem_bytes_total     mem_bytes_base     time_ns_total     time_ns_base     ave_net_input     ave_net_insns     ave_net_bytes     ave_net_ns     ave_net_insn_per_input     ave_net_bytes_per_input
       100       761,600         104,885,657             56,918                   0                  0         9,330,047          214,658             7,616         1,048,287                 0         91,153                        137     0
       100       775,200         105,532,271             56,918                   0                  0         9,724,082          214,658             7,752         1,054,753                 0         95,094                        136     0
       100       788,800         106,189,072             56,918                   0                  0         8,239,053          214,658             7,888         1,061,321                 0         80,243                        134     0
       100       802,400         106,835,669             56,918                   0                  0         9,518,952          214,658             8,024         1,067,787                 0         93,042                        133     0
       100       816,000         107,482,270             56,918                   0                  0        10,595,490          214,658             8,160         1,074,253                 0        103,808                        131     0
       100       829,600         108,130,544             56,918                   0                  0         8,870,652          214,658             8,296         1,080,736                 0         86,559                        130     0
       100       843,200         108,782,244             56,918                   0                  0         9,890,106          214,658             8,432         1,087,253                 0         96,754                        128     0
       100       856,800         109,421,995             56,918                   0                  0         9,761,556          214,658             8,568         1,093,650                 0         95,468                        127     0
       100       870,400         110,075,443             56,918                   0                  0        10,212,833          214,658             8,704         1,100,185                 0         99,981                        126     0
       100       884,000         110,725,441             56,918                   0                  0         9,422,220          214,658             8,840         1,106,685                 0         92,075                        125     0
       100       897,600         111,366,941             56,918                   0                  0         8,938,819          214,658             8,976         1,113,100                 0         87,241                        124     0
       100       911,200         112,022,048             56,918                   0                  0         9,278,360          214,658             9,112         1,119,651                 0         90,637                        122     0
       100       924,800         112,677,174             56,918                   0                  0         9,394,794          214,658             9,248         1,126,202                 0         91,801                        121     0
       100       938,400         113,322,074             56,918                   0                  0         8,335,808          214,658             9,384         1,132,651                 0         81,211                        120     0
       100       952,000         113,970,378             56,918                   0                  0        10,174,975          214,658             9,520         1,139,134                 0         99,603                        119     0
       100       965,600         114,610,171             56,918                   0                  0        10,302,913          214,658             9,656         1,145,532                 0        100,882                        118     0
       100       979,200         115,256,746             56,918                   0                  0        10,522,408          214,658             9,792         1,151,998                 0        103,077                        117     0
       100       992,800         115,911,866             56,918                   0                  0         8,923,923          214,658             9,928         1,158,549                 0         87,092                        116     0
       100     1,006,400         116,558,468             56,918                   0                  0        10,769,908          214,658            10,064         1,165,015                 0        105,552                        115     0
       100     1,020,000         117,211,873             56,918                   0                  0        11,817,649          214,658            10,200         1,171,549                 0        116,029                        114     0
       100     1,033,600         117,849,971             56,918                   0                  0         9,807,143          214,658            10,336         1,177,930                 0         95,924                        113     0
       100     1,047,200         118,501,673             56,918                   0                  0        10,207,342          214,658            10,472         1,184,447                 0         99,926                        113     0
       100     1,060,800         119,151,671             56,918                   0                  0        10,532,286          214,658            10,608         1,190,947                 0        103,176                        112     0
       100     1,074,400         119,806,771             56,918                   0                  0        10,497,849          214,658            10,744         1,197,498                 0        102,831                        111     0
       100     1,088,000         120,448,270             56,918                   0                  0         9,339,748          214,658            10,880         1,203,913                 0         91,250                        110     0
       100     1,101,600         121,093,172             56,918                   0                  0        11,019,183          214,658            11,016         1,210,362                 0        108,045                        109     0
       100     1,115,200         121,743,192             56,918                   0                  0        11,349,956          214,658            11,152         1,216,862                 0        111,352                        109     0
       100     1,128,800         122,393,170             56,918                   0                  0        10,087,640          214,658            11,288         1,223,362                 0         98,729                        108     0
       100     1,142,400         123,038,071             56,918                   0                  0        10,320,486          214,658            11,424         1,229,811                 0        101,058                        107     0
       100     1,156,000         123,686,368             56,918                   0                  0        11,183,879          214,658            11,560         1,236,294                 0        109,692                        106     0
       100     1,169,600         124,339,774             56,918                   0                  0        11,274,821          214,658            11,696         1,242,828                 0        110,601                        106     0
